Search Query	 || 		Document with keyword	 || 	"total documents/appeared documents"	 || 	"log_10(N)"

Canada			 || 			67.0				 || 			9.388059701492537				 || 	0.9725758427444425
Moncton			 || 			12.0				 || 			52.416666666666664				 || 	1.719469399397644
Toronto			 || 			34.0				 || 			18.5							 || 	1.2671717284030137


Canada Appeared in 67 Documents	 || 	Total Words		 || 		Frequency

ARTICLE#1						 || 			96		 || 			0
ARTICLE#2						 || 			105		 || 			0
ARTICLE#3						 || 			96		 || 			0
ARTICLE#4						 || 			81		 || 			0
ARTICLE#5						 || 			105		 || 			0
ARTICLE#6						 || 			96		 || 			0
ARTICLE#7						 || 			33		 || 			1
ARTICLE#8						 || 			90		 || 			0
ARTICLE#9						 || 			111		 || 			0
ARTICLE#10						 || 			105		 || 			0
ARTICLE#11						 || 			93		 || 			0
ARTICLE#12						 || 			108		 || 			0
ARTICLE#13						 || 			102		 || 			0
ARTICLE#14						 || 			105		 || 			0
ARTICLE#15						 || 			102		 || 			0
ARTICLE#16						 || 			102		 || 			0
ARTICLE#17						 || 			102		 || 			0
ARTICLE#18						 || 			99		 || 			0
ARTICLE#19						 || 			90		 || 			0
ARTICLE#20						 || 			81		 || 			0
ARTICLE#21						 || 			87		 || 			0
ARTICLE#22						 || 			93		 || 			0
ARTICLE#23						 || 			90		 || 			0
ARTICLE#24						 || 			114		 || 			0
ARTICLE#25						 || 			90		 || 			0
ARTICLE#26						 || 			93		 || 			0
ARTICLE#27						 || 			78		 || 			0
ARTICLE#28						 || 			105		 || 			0
ARTICLE#29						 || 			99		 || 			0
ARTICLE#30						 || 			108		 || 			0
ARTICLE#31						 || 			96		 || 			0
ARTICLE#32						 || 			105		 || 			0
ARTICLE#33						 || 			90		 || 			0
ARTICLE#34						 || 			30		 || 			2
ARTICLE#35						 || 			105		 || 			0
ARTICLE#36						 || 			34		 || 			1
ARTICLE#37						 || 			99		 || 			0
ARTICLE#38						 || 			102		 || 			0
ARTICLE#39						 || 			93		 || 			0
ARTICLE#40						 || 			87		 || 			0
ARTICLE#41						 || 			99		 || 			0
ARTICLE#42						 || 			105		 || 			0
ARTICLE#43						 || 			99		 || 			0
ARTICLE#44						 || 			96		 || 			0
ARTICLE#45						 || 			84		 || 			0
ARTICLE#46						 || 			120		 || 			0
ARTICLE#47						 || 			24		 || 			1
ARTICLE#48						 || 			78		 || 			0
ARTICLE#49						 || 			99		 || 			0
ARTICLE#50						 || 			96		 || 			0
ARTICLE#51						 || 			99		 || 			0
ARTICLE#52						 || 			96		 || 			0
ARTICLE#53						 || 			32		 || 			1
ARTICLE#54						 || 			69		 || 			0
ARTICLE#55						 || 			87		 || 			0
ARTICLE#56						 || 			99		 || 			0
ARTICLE#57						 || 			87		 || 			0
ARTICLE#58						 || 			105		 || 			0
ARTICLE#59						 || 			87		 || 			0
ARTICLE#60						 || 			102		 || 			0
ARTICLE#61						 || 			96		 || 			0
ARTICLE#62						 || 			87		 || 			0
ARTICLE#63						 || 			96		 || 			0
ARTICLE#64						 || 			99		 || 			0
ARTICLE#65						 || 			96		 || 			0
ARTICLE#66						 || 			114		 || 			0
ARTICLE#67						 || 			102		 || 			0
ARTICLE#68						 || 			99		 || 			0
ARTICLE#69						 || 			114		 || 			0
ARTICLE#70						 || 			96		 || 			0
ARTICLE#71						 || 			90		 || 			0
ARTICLE#72						 || 			99		 || 			0
ARTICLE#73						 || 			102		 || 			0
ARTICLE#74						 || 			84		 || 			0
ARTICLE#75						 || 			114		 || 			0
ARTICLE#76						 || 			52		 || 			0
ARTICLE#77						 || 			105		 || 			0
ARTICLE#78						 || 			27		 || 			1
ARTICLE#79						 || 			27		 || 			2
ARTICLE#80						 || 			93		 || 			0
ARTICLE#81						 || 			84		 || 			0
ARTICLE#82						 || 			102		 || 			0
ARTICLE#83						 || 			90		 || 			0
ARTICLE#84						 || 			99		 || 			0
ARTICLE#85						 || 			93		 || 			0
ARTICLE#86						 || 			93		 || 			0
ARTICLE#87						 || 			105		 || 			0
ARTICLE#88						 || 			96		 || 			0
ARTICLE#89						 || 			87		 || 			0
ARTICLE#90						 || 			114		 || 			0
ARTICLE#91						 || 			108		 || 			0
ARTICLE#92						 || 			28		 || 			2
ARTICLE#93						 || 			25		 || 			1
ARTICLE#94						 || 			81		 || 			0
ARTICLE#95						 || 			102		 || 			0
ARTICLE#96						 || 			105		 || 			0
ARTICLE#97						 || 			96		 || 			0
ARTICLE#98						 || 			33		 || 			1
ARTICLE#99						 || 			81		 || 			0
ARTICLE#100						 || 			111		 || 			0
ARTICLE#101						 || 			108		 || 			0
ARTICLE#102						 || 			105		 || 			0
ARTICLE#103						 || 			102		 || 			0
ARTICLE#104						 || 			111		 || 			0
ARTICLE#105						 || 			96		 || 			0
ARTICLE#106						 || 			96		 || 			0
ARTICLE#107						 || 			102		 || 			0
ARTICLE#108						 || 			58		 || 			0
ARTICLE#109						 || 			99		 || 			0
ARTICLE#110						 || 			105		 || 			0
ARTICLE#111						 || 			105		 || 			0
ARTICLE#112						 || 			28		 || 			1
ARTICLE#113						 || 			84		 || 			0
ARTICLE#114						 || 			35		 || 			1
ARTICLE#115						 || 			99		 || 			0
ARTICLE#116						 || 			93		 || 			0
ARTICLE#117						 || 			93		 || 			0
ARTICLE#118						 || 			96		 || 			0
ARTICLE#119						 || 			102		 || 			0
ARTICLE#120						 || 			30		 || 			1
ARTICLE#121						 || 			99		 || 			0
ARTICLE#122						 || 			27		 || 			1
ARTICLE#123						 || 			93		 || 			0
ARTICLE#124						 || 			111		 || 			0
ARTICLE#125						 || 			87		 || 			0
ARTICLE#126						 || 			99		 || 			0
ARTICLE#127						 || 			87		 || 			0
ARTICLE#128						 || 			114		 || 			0
ARTICLE#129						 || 			96		 || 			0
ARTICLE#130						 || 			99		 || 			0
ARTICLE#131						 || 			99		 || 			0
ARTICLE#132						 || 			90		 || 			0
ARTICLE#133						 || 			84		 || 			0
ARTICLE#134						 || 			108		 || 			0
ARTICLE#135						 || 			96		 || 			0
ARTICLE#136						 || 			81		 || 			0
ARTICLE#137						 || 			87		 || 			0
ARTICLE#138						 || 			327		 || 			0
ARTICLE#139						 || 			90		 || 			0
ARTICLE#140						 || 			105		 || 			0
ARTICLE#141						 || 			84		 || 			0
ARTICLE#142						 || 			114		 || 			0
ARTICLE#143						 || 			35		 || 			1
ARTICLE#144						 || 			102		 || 			0
ARTICLE#145						 || 			102		 || 			0
ARTICLE#146						 || 			93		 || 			0
ARTICLE#147						 || 			99		 || 			0
ARTICLE#148						 || 			93		 || 			0
ARTICLE#149						 || 			30		 || 			1
